network,station,latitude,longitude,elevation
CI,CRF,33.87352,-118.03938,17
CI,CRF,33.87352,-118.03938,18
CI,CRG,35.24220,-119.72486,1169
CI,CRN,33.87574,-117.56106,204
CI,CRR,32.88682,-115.96918,66
CI,CSH,33.64420,-116.59560,1637
CI,CSL,34.49651,-118.61621,353
CI,CSL,34.49651,-118.61621,354
CI,CTC,33.65516,-115.99006,538
CI,CTW,33.67728,-115.87214,504
CI,CVW,34.92217,-118.93913,804
CI,CWC,36.43988,-118.08016,1595
CI,CWP,33.55797,-117.55775,242
CI,CYP,32.90611,-116.62722,1013
CI,CZN,33.91375,-116.78409,538
CI,DAN,34.63745,-115.38115,428
CI,DAW,36.27148,-117.59214,0
CI,DEC,34.25353,-118.33383,519
CI,DEV,33.93597,-116.57794,337
CI,DGR,33.65001,-117.00947,650
CI,DJJ,34.10618,-118.45505,268
CI,DJJB,34.10618,-118.45505,268
CI,DLA,33.84822,-118.09624,14
CI,DNR,33.56667,-116.63056,1274
CI,DPP,32.99889,-116.94187,463
CI,DRE,32.80532,-115.44679,-13
CI,DSC,35.14255,-116.10395,283
CI,DTC,34.42416,-118.66191,0
CI,DTC,34.42416,-118.66191,382
CI,DTP,35.26742,-117.84581,908
CI,DZA,32.60657,-116.77477,554
CI,EDW2,34.88110,-117.99388,772
CI,ELS2,33.64907,-117.42604,844
CI,EML,32.89083,-116.84566,161
CI,EMS,32.73921,-114.98521,11
CI,EOC,34.45029,-119.76941,75
CI,ERR,33.11652,-115.82273,-56
CI,ERR,33.11675,-115.82267,-56
CI,ESI2,33.67493,-117.32592,0
CI,ESI2,33.67493,-117.32592,388
CI,FDR,35.64262,-118.93433,350
CI,FHO,34.09355,-116.93588,1614
CI,FIG,34.72832,-119.98803,945
CI,FMO,34.40920,-118.92121,137
CI,FMP,33.71264,-118.29381,89
CI,FON,34.09957,-117.43876,388
CI,FOX2,34.73390,-118.24046,719
CI,FRK,33.40209,-115.63835,60
CI,FRM,34.77518,-118.96935,2443
CI,FUL,33.87170,-117.92251,51
CI,FUR,36.46703,-116.86322,-37
CI,FUR,36.46719,-116.86322,-38
CI,GATR,34.55266,-120.50235,590
CI,GCC,34.32758,-118.31888,726
CI,GFF,34.92381,-115.07266,791
CI,GFS,34.47660,-120.21436,71
CI,GLA,33.05149,-114.82706,610
CI,GMA,34.29148,-116.38256,848
CI,GMR,34.78457,-115.65994,1326
CI,GOR,33.15370,-117.22921,138
CI,GOU,34.22119,-118.18834,587
CI,GR2,34.11816,-118.30024,342
CI,GRA,36.99608,-117.36621,689
CI,GSA,34.13677,-118.12830,234
CI,GSC,35.30177,-116.80574,1000
CI,GVR,34.04972,-118.11995,141
CI,HAR,35.01140,-117.29909,620
CI,HAY,33.70734,-115.63889,458
CI,HDH,34.77529,-118.63999,964
CI,HDH,34.77529,-118.63999,965
CI,HEC,34.82940,-116.33500,920
CI,HIW,35.03998,-115.38423,1276
CI,HLL,34.17643,-118.35967,193
CI,HLN,34.12128,-117.21897,358
CI,HMT2,33.70811,-117.00152,593
CI,HOL,34.45831,-117.84539,1267
CI,HYS,34.86532,-117.56975,833
CI,IDO,33.79678,-116.22152,469
CI,IDQ,33.76795,-116.23897,29
CI,IDY,33.74642,-116.71536,1632
CI,IKP,32.65012,-116.10948,906
CI,IMP,32.90147,-115.56071,-27
CI,IPT,34.19701,-117.28498,943
CI,IRG5,32.94080,-115.79580,108
CI,IRM,34.15738,-115.14513,567
CI,ISA,35.66278,-118.47403,873
CI,IVY,33.76025,-117.47678,330
CI,JEM,33.08098,-116.59755,1308
CI,JNH2,34.44894,-117.95541,1305
CI,JPLS,34.20530,-118.17368,465
CI,JRC2,35.98249,-117.80885,1469
CI,JTH,34.12644,-116.03785,606
CI,JVA,34.36622,-116.61266,904
CI,KIK,34.15037,-118.10156,237
CI,KML,33.59738,-117.87909,9
CI,KYV,33.92545,-116.17340,1498
CI,LAF,33.86889,-118.33143,20
CI,LAT,34.04449,-118.77643,351
CI,LBW1,33.79800,-118.08837,-16
CI,LBW2,33.79800,-118.08837,-16
CI,LCG,34.00033,-118.37794,108
CI,LCP,34.73551,-120.27996,199
